Day,Johnny Depp: (Worldwide),Amber Heard: (Worldwide)
4/1/2022,1,<1
4/2/2022,1,<1
4/3/2022,1,<1
4/4/2022,1,<1
4/5/2022,1,<1
4/6/2022,1,<1
4/7/2022,1,<1
4/8/2022,1,<1
4/9/2022,1,<1
4/10/2022,1,<1
4/11/2022,1,1
4/12/2022,2,1
4/13/2022,5,4
4/14/2022,6,5
4/15/2022,6,5
4/16/2022,5,3
4/17/2022,4,2
4/18/2022,4,3
4/19/2022,10,5
4/20/2022,16,10
4/21/2022,21,15
4/22/2022,22,17
4/23/2022,20,14
4/24/2022,18,14
4/25/2022,21,15
4/26/2022,23,17
4/27/2022,23,18
4/28/2022,20,16
4/29/2022,18,14
4/30/2022,16,12
5/1/2022,14,11
5/2/2022,14,11
5/3/2022,15,12
5/4/2022,16,15
5/5/2022,19,20
5/6/2022,18,19
5/7/2022,15,14
5/8/2022,12,11
5/9/2022,11,10
5/10/2022,10,8
5/11/2022,9,7
5/12/2022,8,6
5/13/2022,8,6
5/14/2022,7,5
5/15/2022,7,5
5/16/2022,11,9
5/17/2022,16,16
5/18/2022,18,17
5/19/2022,16,14
5/20/2022,15,12
5/21/2022,12,10
5/22/2022,11,8
5/23/2022,14,9
5/24/2022,15,11
5/25/2022,18,11
5/26/2022,19,13
5/27/2022,34,21
5/28/2022,31,18
5/29/2022,21,13
5/30/2022,20,11
5/31/2022,40,18
6/1/2022,100,45
6/2/2022,45,35
6/3/2022,17,16
6/4/2022,13,11
6/5/2022,11,9
6/6/2022,7,7
6/7/2022,6,5
6/8/2022,7,5
6/9/2022,7,4
6/10/2022,6,3
6/11/2022,6,3
6/12/2022,5,3
6/13/2022,4,3
6/14/2022,3,4
6/15/2022,3,4
